distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period),power-generated
0.636245111,75,30,8.6,1,10,73,3,29.78,444.4384721
0.401564537,75,30,8.6,1,10,52,3,29.81,540.9735025
0.166883963,75,30,8.6,1,10,66,3,29.82,478.6538184
0.06779661,75,30,8.6,0,10,29,16,29.79,620.0520324
0.302477184,75,30,8.6,0,10,39,18,29.75,603.7023844
0.537157757,75,30,8.6,0,10,57,14,29.74,536.7712421
0.771838331,75,30,8.6,0,10,65,8,29.76,491.0226094
0.873036649,62,29,14.9,1,10,81,8,29.76,404.9273019
0.637434555,62,29,14.9,1,10,87,7,29.74,374.7096947
0.401832461,62,29,14.9,1,10,84,8,29.76,390.3263046
0.166230366,62,29,14.9,1,10,68,14,29.77,481.0463504
0.069371728,62,29,14.9,1,10,61,22,29.73,527.0634574
0.304973822,62,29,14.9,1,10,70,25,29.71,486.9727765
0.540575916,62,29,14.9,1,10,87,22,29.73,397.9835213
0.77617801,62,29,14.9,1,10,90,13,29.75,369.7077023
0.875328084,64,31,5.8,3,10,90,7,29.76,359.8424508
0.639107612,64,31,5.8,4,10,87,5,29.75,370.6647679
0.402887139,64,31,5.8,4,9,87,0,29.77,364.8093039
0.166666667,64,31,5.8,1,9,73,5,29.78,439.407126
0.069553806,64,31,5.8,1,10,59,10,29.75,517.0967915
0.305774278,64,31,5.8,1,10,61,14,29.7,513.5857587
0.541994751,64,31,5.8,1,10,73,6,29.72,440.8030925
0.778215223,64,31,5.8,1,10,87,6,29.75,371.9312245
0.878787879,63,21,10.5,3,10,84,7,29.76,381.9812474
0.641633729,63,21,10.5,3,10,78,7,29.75,411.6612421
0.404479578,63,21,10.5,4,10,81,8,29.78,398.1573343
0.167325428,63,21,10.5,4,10,73,5,29.8,434.3351736
0.069828722,63,21,10.5,1,10,63,15,29.76,500.9459965
0.306982872,63,21,10.5,1,10,68,20,29.74,483.1856028
0.544137022,63,21,10.5,1,10,78,7,29.74,411.7112182
0.781291173,63,21,10.5,3,10,81,13,29.76,405.653246
0.880952381,64,28,9.7,3,10,81,7,29.76,401.4446842
0.642857143,64,28,9.7,4,10,81,7,29.77,401.5078009
0.404761905,64,28,9.7,4,10,78,7,29.8,416.6268622
0.166666667,64,28,9.7,3,10,68,3,29.84,461.8385214
0.071428571,64,28,9.7,1,10,59,16,29.81,526.617004
0.30952381,64,28,9.7,1,10,63,18,29.8,510.1924864
0.547619048,64,28,9.7,1,10,81,15,29.82,413.7375576
0.785714286,64,28,9.7,1,10,84,8,29.85,388.2461365
0.883289125,61,29,11.4,2,10,87,10,29.85,376.1869588
0.644562334,61,29,11.4,4,10,87,3,29.85,366.8336542
0.405835544,61,29,11.4,4,8,84,3,29.87,380.9199159
0.167108753,61,29,11.4,2,10,73,3,29.87,435.7584208
0.071618037,61,29,11.4,1,10,68,21,29.84,489.2203945
0.310344828,61,29,11.4,1,10,75,23,29.81,456.4146135
0.549071618,61,29,11.4,1,10,87,18,29.83,388.7533052
0.787798408,61,29,11.4,1,10,87,10,29.86,376.2341754
0.886817577,60,28,11.7,3,10,90,13,29.87,365.7256365
0.64713715,60,28,11.7,3,10,83,8,29.87,391.1971545
0.407456724,60,28,11.7,4,10,86,5,29.9,372.7663267
0.167776298,60,28,11.7,4,9,81,7,29.93,399.7702732
0.071904128,60,28,11.7,1,10,68,16,29.88,480.6794866
0.311584554,60,28,11.7,1,10,73,21,29.85,462.4728047
0.55126498,60,28,11.7,3,10,80,13,29.88,413.7856103
0.790945406,60,28,11.7,3,10,86,9,29.9,378.1855734
0.886666667,61,29,9,3,10,80,8,29.9,406.0785489
0.646666667,61,29,9,4,10,80,6,29.87,403.2197689
0.406666667,61,29,9,4,10,83,5,29.9,387.1033111
0.166666667,61,29,9,4,10,72,3,29.93,439.6611533
0.073333333,61,29,9,2,10,61,16,29.89,515.5827982
0.313333333,61,29,9,2,10,65,17,29.86,497.24741
0.553333333,61,29,9,1,10,81,14,29.89,410.3543658
0.793333333,61,29,9,1,10,83,7,29.93,389.8132584
0.890227577,62,29,10.1,4,10,83,5,29.94,388.243508
0.649263722,62,29,10.1,4,10,87,3,29.94,366.9157631
0.408299866,62,29,10.1,4,10,84,5,29.97,383.5391832
0.167336011,62,29,10.1,3,9,73,7,30,441.8650634
0.073627845,62,29,10.1,1,10,63,15,29.96,505.5156434
0.3145917,62,29,10.1,1,10,68,21,29.94,489.1328681
0.555555556,62,29,10.1,1,10,78,18,29.97,433.1845523
0.796519411,62,29,10.1,1,10,83,13,29.99,400.031206
0.89261745,60,28,12.6,3,10,86,9,29.99,378.6486128
0.651006711,60,28,12.6,4,10,87,7,29.97,371.241244
0.409395973,60,28,12.6,4,7,90,7,30.01,357.9739139
0.167785235,60,28,12.6,3,7,78,5,30.01,412.5130563
0.073825503,60,28,12.6,1,10,63,16,29.95,506.3878984
0.315436242,60,28,12.6,1,10,70,22,29.92,479.7877049
0.55704698,60,28,12.6,1,10,83,18,29.94,407.2789379
0.798657718,60,28,12.6,1,10,90,13,29.96,366.2572023
0.894878706,59,28,12.7,2,10,90,11,29.97,362.607611
0.652291105,59,28,12.7,3,10,83,9,29.96,392.5168008
0.409703504,59,28,12.7,4,9,83,9,29.97,392.6145866
0.167115903,59,28,12.7,3,10,72,7,29.98,445.6457722
0.075471698,59,28,12.7,1,10,63,21,29.94,512.8627437
0.318059299,59,28,12.7,2,10,67,20,29.92,491.5096676
0.5606469,59,28,12.7,1,10,80,14,29.95,415.2430122
0.803234501,59,28,12.7,2,10,78,11,29.99,420.6637776
0.897297297,62,24,9.6,4,10,75,10,30,432.3236942
0.654054054,62,24,9.6,4,10,72,7,29.99,443.2928447
0.410810811,62,24,9.6,4,10,70,3,30.03,447.5207263
0.167567568,62,24,9.6,4,10,63,10,30.07,494.2516908
0.075675676,62,24,9.6,2,10,52,10,30.04,545.471694
0.318918919,62,24,9.6,0,10,54,17,30.01,546.8625873
0.562162162,62,24,9.6,0,10,70,9,30,456.8713245
0.805405405,62,24,9.6,0,10,72,6,30.01,441.7728251
0.900949796,60,26,7.9,1,10,78,6,30.01,409.9663763
0.656716418,60,26,7.9,1,10,86,0,29.99,363.4443593
0.412483039,60,26,7.9,1,10,83,0,30.02,377.4165319
0.168249661,60,26,7.9,1,10,56,10,30.05,527.1001983
0.075983718,60,26,7.9,0,10,49,15,30.02,564.0329014
0.320217096,60,26,7.9,0,10,51,15,29.98,556.0341685
0.564450475,60,26,7.9,1,10,65,8,29.96,480.1365895
0.808683853,60,26,7.9,0,10,67,6,29.98,466.6934874
0.902040816,63,21,7.3,1,10,78,3,29.99,404.3457564
0.657142857,63,21,7.3,1,10,80,5,29.98,397.2344483
0.412244898,63,21,7.3,1,10,80,3,29.99,394.5450847
0.167346939,63,21,7.3,1,10,63,9,30,489.9693239
0.07755102,63,21,7.3,3,10,61,9,29.98,499.8060416
0.32244898,63,21,7.3,4,10,63,10,29.97,491.4379688
0.567346939,63,21,7.3,4,10,81,11,29.98,401.0660775
0.812244898,63,21,7.3,3,10,81,6,29.99,393.64509
0.904502046,65,28,10.3,4,10,87,8,30.01,375.125527
0.65893588,65,28,10.3,4,10,90,8,30.01,361.6698893
0.413369714,65,28,10.3,4,10,84,6,30.03,386.5777177
0.167803547,65,28,10.3,4,10,70,9,30.05,461.8998868
0.077762619,65,28,10.3,2,10,63,11,30.03,500.6414898
0.323328786,65,28,10.3,3,10,75,15,30.01,445.386478
0.568894952,65,28,10.3,4,10,87,14,30,384.0545475
0.814461119,65,28,10.3,3,10,87,15,30,385.546074
0.906849315,63,27,14.4,3,10,87,8,29.97,375.0584636
0.660273973,63,27,14.4,3,10,81,13,29.96,411.6086716
0.41369863,63,27,14.4,4,10,84,8,29.98,389.367834
0.167123288,63,27,14.4,2,10,70,10,29.99,463.6145819
0.079452055,63,27,14.4,2,10,65,20,29.97,504.2423434
0.326027397,63,27,14.4,2,10,70,24,29.96,484.7376872
0.57260274,63,27,14.4,1,10,78,16,29.94,431.5981758
0.819178082,63,27,14.4,1,10,84,11,29.96,393.7158221
0.909340659,66,29,7.3,1,10,87,0,29.96,365.3418991
0.662087912,66,29,7.3,0,10,86,3,29.95,373.45429
0.414835165,66,29,7.3,1,10,81,0,30,393.2501417
0.167582418,66,29,7.3,1,10,70,5,30.02,455.4909727
0.07967033,66,29,7.3,1,10,34,16,29.99,612.8539412
0.326923077,66,29,7.3,0,10,48,17,29.96,574.1488167
0.574175824,66,29,7.3,1,10,70,16,29.95,472.4119714
0.821428571,66,29,7.3,0,10,78,8,29.97,419.0667622
0.913103448,69,29,8.7,0,10,81,6,29.97,404.1885321
0.664827586,69,29,8.7,0,10,75,3,29.96,429.7747392
0.416551724,69,29,8.7,1,9,84,3,29.98,385.8952358
0.168275862,69,29,8.7,0,9,73,5,29.99,442.9412723
0.08,69,29,8.7,0,10,66,6,29.94,479.8052401
0.328275862,69,29,8.7,0,10,37,21,29.9,611.7489235
0.576551724,69,29,8.7,0,10,56,18,29.91,544.8123664
0.824827586,69,29,8.7,0,10,75,11,29.94,441.6869215
0.914246196,66,29,10.1,0,10,84,3,29.94,383.9366731
0.665283541,66,29,10.1,0,10,90,5,29.92,359.2976863
0.416320885,66,29,10.1,1,9,90,5,29.94,359.3237004
0.16735823,66,29,10.1,1,10,66,3,29.95,474.0343919
0.081604426,66,29,10.1,1,10,51,13,29.92,558.9893021
0.330567082,66,29,10.1,1,10,49,16,29.89,570.7567048
0.579529737,66,29,10.1,1,10,56,16,29.89,541.8770488
0.828492393,66,29,10.1,0,10,62,11,29.92,506.4070068
0.918055556,67,29,9.3,0,10,67,3,29.91,469.0532548
0.668055556,67,29,9.3,0,10,80,6,29.9,407.8667133
0.418055556,67,29,9.3,2,10,70,0,29.93,449.4717599
0.168055556,67,29,9.3,2,10,63,7,29.95,495.4743956
0.081944444,67,29,9.3,2,10,47,15,29.91,576.7622734
0.331944444,67,29,9.3,2,10,57,21,29.88,543.8875426
0.581944444,67,29,9.3,1,10,70,11,29.89,466.3689324
0.831944444,67,29,9.3,0,10,81,8,29.91,405.7688997
0.919332406,66,29,10.7,0,10,81,6,29.91,402.7792536
0.668984701,66,29,10.7,0,9,87,7,29.9,375.6032253
0.418636996,66,29,10.7,2,9,84,6,29.93,388.2853005
0.168289291,66,29,10.7,1,10,68,6,29.95,468.9691474
0.082058414,66,29,10.7,1,10,50,13,29.91,563.2405055
0.33240612,66,29,10.7,1,10,68,18,29.9,487.4330451
0.582753825,66,29,10.7,1,10,90,15,29.92,373.6249301
0.83310153,66,29,10.7,1,10,90,10,29.94,366.1297988
0.921787709,66,29,9.1,1,10,90,10,29.95,365.3691612
0.670391061,66,29,9.1,1,10,93,3,29.93,343.950339
0.418994413,66,29,9.1,1,10,93,6,29.95,347.4674727
0.167597765,66,29,9.1,0,10,73,3,29.95,438.0772056
0.083798883,66,29,9.1,1,10,56,6,29.9,526.3527948
0.335195531,66,29,9.1,1,10,59,20,29.85,533.1410276
0.586592179,66,29,9.1,0,10,73,15,29.89,456.3953246
0.837988827,66,29,9.1,1,10,81,5,29.92,400.5745789
0.925666199,61,30,12.3,1,10,90,13,29.92,368.2000436
0.673211781,61,30,12.3,1,10,93,8,29.91,348.2628655
0.420757363,61,30,12.3,1,10,93,8,29.94,348.3162224
0.168302945,61,30,12.3,1,10,65,9,29.94,487.2464976
0.084151473,61,30,12.3,1,10,63,20,29.9,513.7086369
0.336605891,61,30,12.3,1,10,70,21,29.89,480.0351881
0.589060309,61,30,12.3,1,10,87,11,29.93,378.9555539
0.841514727,61,30,12.3,2,10,90,11,29.96,365.2137302
0.928270042,62,28,8.4,4,10,90,8,29.97,358.3983376
0.675105485,62,28,8.4,4,10,87,6,29.96,369.2464252
0.421940928,62,28,8.4,4,10,87,6,29.96,369.3021106
0.168776371,62,28,8.4,3,10,75,5,29.98,426.9651921
0.084388186,62,28,8.4,2,10,63,15,29.94,504.0078248
0.337552743,62,28,8.4,2,10,68,15,29.95,478.6638806
0.5907173,62,28,8.4,2,10,75,11,29.96,436.050449
0.843881857,62,28,8.4,0,10,81,8,29.97,400.8754819
0.93079096,65,29,6.9,0,10,81,5,29.98,398.8202944
0.676553672,65,29,6.9,1,10,87,5,29.99,370.3713972
0.422316384,65,29,6.9,2,10,83,0,30.04,382.7582173
0.168079096,65,29,6.9,2,10,70,3,30.05,451.5554418
0.086158192,65,29,6.9,2,10,50,9,30.01,554.9769702
0.34039548,65,29,6.9,2,10,53,18,29.97,555.2666345
0.594632768,65,29,6.9,1,10,68,15,29.99,480.291006
0.848870056,65,29,6.9,1,10,67,0,30.01,461.9497853
0.933427762,66,29,7.8,1,10,67,0,30,463.0082077
0.678470255,66,29,7.8,1,10,78,5,29.99,414.9100849
0.423512748,66,29,7.8,2,10,75,0,29.98,422.9531372
0.168555241,66,29,7.8,3,10,71,3,29.98,447.5664979
0.086402266,66,29,7.8,3,10,50,22,29.95,572.5678669
0.341359773,66,29,7.8,3,10,59,16,29.92,527.0170649
0.59631728,66,29,7.8,3,10,81,8,29.96,404.2781425
0.851274788,66,29,7.8,3,10,84,9,29.95,391.0386724
0.937411095,67,27,9.5,3,10,84,10,29.94,392.694102
0.681365576,67,27,9.5,4,10,87,6,29.92,373.0652809
0.425320057,67,27,9.5,4,10,81,0,29.96,393.6541251
0.169274538,67,27,9.5,3,10,73,6,29.98,442.1048542
0.086770982,67,27,9.5,3,10,62,17,29.97,514.4715398
0.342816501,67,27,9.5,3,10,76,9,29.92,431.2544047
0.59886202,67,27,9.5,3,10,87,13,29.91,383.0534661
0.854907539,67,27,9.5,2,10,90,16,29.92,374.017557
0.940085592,65,19,8.5,4,10,90,7,29.91,354.345609
0.683309558,65,19,8.5,3,10,87,8,29.86,368.9922711
0.426533524,65,19,8.5,3,10,84,5,29.87,378.898641
0.169757489,65,19,8.5,3,10,73,3,29.87,430.4798851
0.087018545,65,19,8.5,3,10,63,0,29.83,475.9954804
0.343794579,65,19,8.5,4,10,65,9,29.77,480.2371314
0.600570613,65,19,8.5,4,10,70,14,29.76,462.5326845
0.857346648,65,19,8.5,4,3,90,13,29.75,363.6341794
0.941344778,64,26,14.4,4,9,93,15,29.73,358.9923395
0.683834049,64,26,14.4,4,7,90,17,29.75,375.3215362
0.426323319,64,26,14.4,4,8,90,8,29.79,361.8737899
0.168812589,64,26,14.4,3,10,81,13,29.84,411.780771
0.08869814,64,26,14.4,2,10,66,16,29.86,493.3740105
0.34620887,64,26,14.4,2,10,70,15,29.88,471.3646381
0.603719599,64,26,14.4,1,10,81,14,29.91,413.278757
0.861230329,64,26,14.4,2,10,84,18,29.95,404.7621105
0.944045911,65,28,11.1,1,10,81,15,29.96,415.084217
0.68579627,65,28,11.1,1,10,84,10,29.96,392.6546095
0.427546628,65,28,11.1,2,10,81,8,29.99,404.4642808
0.169296987,65,28,11.1,3,10,57,7,30.01,523.3488854
0.088952654,65,28,11.1,3,10,55,15,30,544.5022102
0.347202296,65,28,11.1,3,10,61,11,29.99,510.7505902
0.605451937,65,28,11.1,1,10,81,15,30.01,415.1588265
0.863701578,65,28,11.1,2,10,87,14,30.03,384.3743106
0.948126801,66,28,10.5,4,10,93,7,30.04,348.5272813
0.688760807,66,28,10.5,4,10,90,0,30.05,353.0567322
0.429394813,66,28,10.5,4,9,84,5,30.07,386.1409636
0.170028818,66,28,10.5,1,9,73,5,30.1,441.1166041
0.089337176,66,28,10.5,0,10,59,3,30.05,507.7205477
0.34870317,66,28,10.5,1,10,70,22,30.05,482.4031815
0.608069164,66,28,10.5,1,10,93,22,30.07,371.3059719
0.867435159,66,28,10.5,3,10,93,21,30.1,369.5231358
0.949421965,65,28,10.2,2,10,93,14,30.12,357.2708133
0.689306358,65,28,10.2,1,10,96,7,30.12,335.7123663
0.429190751,65,28,10.2,3,10,96,0,30.16,328.4110606
0.169075145,65,28,10.2,2,7,81,3,30.17,397.1669461
0.091040462,65,28,10.2,0,9,71,3,30.11,447.5244819
0.351156069,65,28,10.2,0,10,55,22,30.07,552.8616537
0.611271676,65,28,10.2,0,10,73,16,30.06,457.2108237
0.871387283,65,28,10.2,0,10,81,11,30.05,408.462202
0.953555878,66,27,12.6,0,10,84,7,30.03,389.2017033
0.692307692,66,27,12.6,1,10,83,0,30.01,384.8118829
0.431059507,66,27,12.6,0,9,90,3,30.02,356.855053
0.169811321,66,27,12.6,0,9,76,3,30.01,423.311812
0.091436865,66,27,12.6,0,10,55,24,29.95,555.9750613
0.352685051,66,27,12.6,1,10,61,25,29.92,530.5381732
0.613933237,66,27,12.6,0,10,72,9,29.9,452.7008402
0.875181422,66,27,12.6,0,10,78,23,29.91,443.6945467
0.956331878,62,27,14.6,0,10,83,15,29.91,404.2164692
0.694323144,62,27,14.6,0,10,80,13,29.92,416.1017924
0.43231441,62,27,14.6,1,10,75,9,29.96,435.5333313
0.170305677,62,27,14.6,0,10,47,5,30,561.1288181
0.091703057,62,27,14.6,0,10,36,16,29.97,609.5348328
0.35371179,62,27,14.6,0,10,50,26,29.94,576.5949524
0.615720524,62,27,14.6,0,10,67,20,29.95,493.620708
0.877729258,62,27,14.6,0,10,67,11,29.97,479.9337779
0.959124088,57,29,17.6,0,10,69,16,29.98,476.7270006
0.696350365,57,29,17.6,0,10,69,11,29.98,469.0513887
0.433576642,57,29,17.6,1,10,59,13,29.99,521.726649
0.17080292,57,29,17.6,1,10,42,17,30,593.5761777
0.091970803,57,29,17.6,1,10,46,26,29.94,589.2636625
0.354744526,57,29,17.6,2,10,46,29,29.91,591.0615419
0.617518248,57,29,17.6,0,10,64,18,29.92,504.8893489
0.880291971,57,29,17.6,0,10,46,13,29.93,575.4891235
0.961876833,61,31,14.6,0,10,32,14,29.92,616.075973
0.697947214,61,31,14.6,0,10,36,14,29.93,608.1758974
0.434017595,61,31,14.6,0,10,34,10,29.97,607.5206295
0.170087977,61,31,14.6,0,10,34,20,29.98,618.1999962
0.093841642,61,31,14.6,1,10,28,20,29.96,627.1878737
0.357771261,61,31,14.6,0,10,35,21,29.95,616.9861656
0.62170088,61,31,14.6,0,10,42,10,30,587.0114603
0.885630499,61,31,14.6,0,10,25,9,30.04,619.394208
0.964705882,63,32,13.4,0,10,39,15,30.09,602.7129758
0.7,63,32,13.4,0,10,41,13,30.1,594.8556328
0.435294118,63,32,13.4,0,10,34,9,30.15,606.8253793
0.170588235,63,32,13.4,0,10,29,20,30.17,626.4761524
0.094117647,63,32,13.4,0,10,25,14,30.15,625.6124216
0.358823529,63,32,13.4,0,10,29,17,30.13,624.174055
0.623529412,63,32,13.4,0,10,46,11,30.16,576.1820402
0.888235294,63,32,13.4,1,10,27,7,30.19,615.2693629
0.968980798,64,28,6.4,1,10,21,0,30.21,606.8122364
0.70310192,64,28,6.4,0,10,49,5,30.22,551.1502342
0.437223043,64,28,6.4,0,10,49,0,30.26,542.6578003
0.171344165,64,28,6.4,0,10,21,0,30.27,606.8616901
0.094534712,64,28,6.4,0,10,14,5,30.22,615.2785126
0.360413589,64,28,6.4,0,10,18,18,30.19,628.3202687
0.626292467,64,28,6.4,0,10,26,13,30.2,620.3838798
0.892171344,64,28,6.4,0,10,62,7,30.2,496.4051452
0.971851852,65,29,4.9,0,10,75,0,30.18,420.8390254
0.705185185,65,29,4.9,0,10,61,3,30.16,495.1539376
0.438518519,65,29,4.9,0,10,75,0,30.18,420.9567733
0.171851852,65,29,4.9,0,10,63,5,30.18,488.7813401
0.094814815,65,29,4.9,0,10,36,0,30.1,583.9769914
0.361481481,65,29,4.9,1,10,31,14,30.05,614.4614
0.628148148,65,29,4.9,0,10,40,14,30.03,594.4688927
0.894814815,65,29,4.9,0,10,72,9,30.04,449.3685915
0.974702381,68,29,6.4,0,10,75,7,30.04,433.7690152
0.706845238,68,29,6.4,0,10,66,3,30.04,473.1967005
0.438988095,68,29,6.4,0,10,80,3,30.06,403.2221857
0.171130952,68,29,6.4,0,10,65,6,30.08,483.003973
0.09672619,68,29,6.4,1,10,40,0,30.03,574.9765963
0.364583333,68,29,6.4,1,10,34,18,30,614.2747068
0.632440476,68,29,6.4,1,10,58,11,30.01,524.3537444
0.900297619,68,29,6.4,0,10,70,7,30.03,459.235654
0.97761194,69,29,4.1,0,10,67,3,30.03,467.5426567
0.708955224,69,29,4.1,0,10,64,3,30.03,482.3395406
0.440298507,69,29,4.1,1,10,72,0,30.06,438.33707
0.171641791,69,29,4.1,0,10,70,3,30.08,452.7744385
0.097014925,69,29,4.1,0,10,54,0,30.03,523.4116797
0.365671642,69,29,4.1,0,10,24,15,30,622.882874
0.634328358,69,29,4.1,0,10,28,14,30.01,618.13575
0.902985075,69,29,4.1,0,10,42,0,30.03,567.5443802
0.980538922,70,31,4.4,0,10,52,0,30.03,532.9476038
0.711077844,70,31,4.4,1,10,69,0,30.03,455.148986
0.441616766,70,31,4.4,2,10,81,0,30.05,396.7463423
0.172155689,70,31,4.4,3,10,66,3,30.06,474.5313582
0.097305389,70,31,4.4,1,10,61,5,30,501.7947449
0.366766467,70,31,4.4,1,10,24,11,29.96,619.3961578
0.636227545,70,31,4.4,0,10,35,9,29.97,601.0938201
0.905688623,70,31,4.4,0,10,48,3,29.99,553.5195779
0.984962406,59,29,10.3,1,10,62,10,29.99,500.7639964
0.714285714,59,29,10.3,2,10,75,5,30,426.4124669
0.443609023,59,29,10.3,2,10,90,10,30.02,360.7258071
0.172932331,59,29,10.3,2,10,68,6,30.07,464.2168193
0.097744361,59,29,10.3,2,10,59,13,30.02,520.1471265
0.368421053,59,29,10.3,2,10,70,17,30.01,471.0650672
0.639097744,59,29,10.3,2,10,83,11,30.03,394.9702937
0.909774436,59,29,10.3,2,10,83,8,30.06,390.4471174
0.986445783,56,27,11.5,3,10,83,0,30.05,377.0790714
0.715361446,56,27,11.5,4,10,83,7,30.05,386.3423589
0.444277108,56,27,11.5,4,10,83,3,30.08,380.9568393
0.173192771,56,27,11.5,2,10,72,8,30.1,443.8791617
0.097891566,56,27,11.5,2,10,72,21,30.05,464.2066942
0.368975904,56,27,11.5,3,10,83,18,30.05,403.4244432
0.640060241,56,27,11.5,4,10,86,15,30.08,384.0063943
0.911144578,56,27,11.5,4,10,83,10,30.1,390.685237
0.987915408,58,27,13.3,3,10,83,14,30.12,399.0857401
0.716012085,58,27,13.3,4,10,80,14,30.13,414.1517646
0.444108761,58,27,13.3,3,10,80,9,30.17,406.4618389
0.172205438,58,27,13.3,1,10,67,11,30.2,476.8202728
0.099697885,58,27,13.3,2,10,58,16,30.17,528.8069786
0.371601208,58,27,13.3,2,10,70,17,30.16,470.6230423
0.643504532,58,27,13.3,2,10,80,15,30.17,415.7677083
0.915407855,58,27,13.3,1,10,90,8,30.18,357.4039583
0.992412747,64,28,4,0,10,86,3,30.17,369.8770634
0.719271624,64,28,4,0,10,86,3,30.17,369.934249
0.446130501,64,28,4,3,10,86,0,30.19,366.4191941
0.172989378,64,28,4,1,10,75,0,30.2,419.209565
0.100151745,64,28,4,1,10,46,3,30.13,557.6777917
0.373292868,64,28,4,1,10,46,14,30.08,574.2594999
0.646433991,64,28,4,0,10,45,13,30.07,576.2976802
0.919575114,64,28,4,0,10,65,3,30.08,473.8280349
0.99543379,68,14,2.7,0,10,62,0,30.08,475.5280996
0.721461187,68,14,2.7,0,10,67,0,30.07,451.781649
0.447488584,68,14,2.7,0,10,34,8,30.08,589.1211274
0.173515982,68,14,2.7,0,10,21,7,30.09,605.2262487
0.100456621,68,14,2.7,0,10,17,0,30.04,597.2393853
0.374429224,68,14,2.7,0,10,21,0,30.02,595.4349257
0.648401826,68,14,2.7,0,10,28,0,30.03,587.9181456
0.922374429,68,14,2.7,0,10,57,0,30.05,498.3331876
0.998473282,69,31,4.3,0,10,58,0,30.05,506.8268673
0.723664122,69,31,4.3,0,10,62,0,30.02,488.4033572
0.448854962,69,31,4.3,0,10,65,5,30.04,481.9217606
0.174045802,69,31,4.3,0,10,63,5,30.06,491.7098892
0.100763359,69,31,4.3,0,10,64,3,30,483.7318072
0.375572519,69,31,4.3,0,10,26,11,29.97,617.7072124
0.650381679,69,31,4.3,0,10,25,11,29.98,618.5845351
0.92519084,69,31,4.3,0,10,43,0,30,565.2791759
1.001531394,68,29,4.9,0,10,67,5,30.01,470.4747426
0.725880551,68,29,4.9,0,10,51,0,30,535.8256964
0.450229709,68,29,4.9,2,10,75,3,30.02,427.2913046
0.174578867,68,29,4.9,1,10,70,5,30.05,455.5557617
0.101071975,68,29,4.9,1,10,53,3,30,532.8724003
0.376722818,68,29,4.9,1,10,33,7,29.96,602.3158424
0.65237366,68,29,4.9,0,10,43,13,29.99,584.9638315
0.928024502,68,29,4.9,0,10,58,0,30.02,505.7157732
1.006153846,68,29,4.6,0,10,56,3,30.03,519.4966456
0.729230769,68,29,4.6,0,10,62,0,30.02,486.9438528
0.452307692,68,29,4.6,0,8,80,0,30.05,398.6704574
0.175384615,68,29,4.6,0,10,68,7,30.06,468.5800988
0.101538462,68,29,4.6,0,10,61,3,30.01,496.6781817
